Block,Plant,Strain,weight
Z,Oe,1147,0.12
A,Oe,1152,0.15
B,Oe,1152,0.19
C,Oe,1152,0.43
D,Oe,1152,0.18
E,Oe,1152,NA
V,Oe,1152,0.27
W,Oe,1152,NA
X,Oe,1152,0.3
Y,Oe,1152,0.24
Z,Oe,1152,0.16
A,Oe,1153,0.34
B,Oe,1153,NA
C,Oe,1153,0.25
D,Oe,1153,0.14
E,Oe,1153,NA
V,Oe,1153,0.16
W,Oe,1153,0.13
X,Oe,1153,0.29
Y,Oe,1153,0.18
Z,Oe,1153,0.03
A,Oe,1155,NA
B,Oe,1155,0.31
C,Oe,1155,0.19
D,Oe,1155,NA
E,Oe,1155,NA
V,Oe,1155,0.69
W,Oe,1155,NA
X,Oe,1155,NA
Y,Oe,1155,0.27
Z,Oe,1155,0.03
A,Oe,1158,NA
B,Oe,1158,NA
C,Oe,1158,0.01
D,Oe,1158,0.07
E,Oe,1158,0.14
V,Oe,1158,0.16
W,Oe,1158,NA
X,Oe,1158,0.02
Y,Oe,1158,NA
Z,Oe,1158,NA
A,Oe,1160,0.45
B,Oe,1160,NA
C,Oe,1160,NA
D,Oe,1160,0.24
E,Oe,1160,NA
V,Oe,1160,NA
W,Oe,1160,NA
X,Oe,1160,0.14
Y,Oe,1160,NA
Z,Oe,1160,0.16
A,Oe,1164,0.76
B,Oe,1164,NA
C,Oe,1164,0.13
D,Oe,1164,NA
E,Oe,1164,NA
V,Oe,1164,NA
W,Oe,1164,NA
X,Oe,1164,0.04
Y,Oe,1164,0.28
Z,Oe,1164,NA
A,Oe,1169,0.29
B,Oe,1169,0.24
C,Oe,1169,0.28
D,Oe,1169,NA
E,Oe,1169,0.1
V,Oe,1169,NA
W,Oe,1169,NA
X,Oe,1169,NA
Y,Oe,1169,NA
Z,Oe,1169,NA
A,Oe,1174,0.22
B,Oe,1174,NA
C,Oe,1174,NA
D,Oe,1174,NA
E,Oe,1174,0.34
V,Oe,1174,0.02
W,Oe,1174,NA
X,Oe,1174,NA
Y,Oe,1174,0.46
Z,Oe,1174,NA
A,Oe,1175,NA
B,Oe,1175,NA
C,Oe,1175,NA
D,Oe,1175,0.18
E,Oe,1175,0.07
V,Oe,1175,0.23
W,Oe,1175,0.3
X,Oe,1175,0.35
Y,Oe,1175,0.72
Z,Oe,1175,NA
A,Oe,1178,NA
B,Oe,1178,NA
C,Oe,1178,0.17
D,Oe,1178,NA
E,Oe,1178,0.09
V,Oe,1178,0.08
W,Oe,1178,NA
X,Oe,1178,0.01
Y,Oe,1178,0.04
Z,Oe,1178,NA
A,Oe,1194,0.33
B,Oe,1194,NA
C,Oe,1194,0.06
D,Oe,1194,0.01
E,Oe,1194,0.66
V,Oe,1194,0.16
W,Oe,1194,NA
X,Oe,1194,NA
Y,Oe,1194,0.26
Z,Oe,1194,0.42
