Block,Plant,Strain,weight
D,Am,1088,0.27
E,Am,1088,NA
V,Am,1088,0.23
W,Am,1088,0.5
X,Am,1088,0.08
Y,Am,1088,0.18
Z,Am,1088,0.06
A,Am,1092,0.55
B,Am,1092,0.22
C,Am,1092,0.05
D,Am,1092,0.17
E,Am,1092,0.27
V,Am,1092,0.44
W,Am,1092,0.17
X,Am,1092,0.13
Y,Am,1092,0.11
Z,Am,1092,NA
A,Am,1093,1.75
B,Am,1093,1.29
C,Am,1093,1.96
D,Am,1093,1.09
E,Am,1093,1.46
V,Am,1093,1.1
W,Am,1093,1.38
X,Am,1093,1.05
Y,Am,1093,1.99
Z,Am,1093,0.93
A,Am,1097,0.01
B,Am,1097,NA
C,Am,1097,NA
D,Am,1097,0.1
E,Am,1097,NA
V,Am,1097,1.1
W,Am,1097,0.08
X,Am,1097,NA
Y,Am,1097,0.01
Z,Am,1097,0.04
A,Am,1104,0.22
B,Am,1104,0.76
C,Am,1104,0.33
D,Am,1104,0.81
E,Am,1104,0.95
V,Am,1104,1.6
W,Am,1104,1.16
X,Am,1104,1.02
Y,Am,1104,0.92
Z,Am,1104,0.94
A,Am,1129,2.13
B,Am,1129,2.4
C,Am,1129,2.84
D,Am,1129,2.16
E,Am,1129,2
V,Am,1129,1.84
W,Am,1129,2.12
X,Am,1129,2.11
Y,Am,1129,1.69
Z,Am,1129,1.35
A,Am,1144,2.25
B,Am,1144,1.41
C,Am,1144,2.37
D,Am,1144,1.53
E,Am,1144,2.9
V,Am,1144,2.73
W,Am,1144,0.46
X,Am,1144,0.14
Y,Am,1144,1.64
Z,Am,1144,0.15
A,Am,1147,NA
B,Am,1147,1.02
C,Am,1147,0.74
D,Am,1147,0.46
E,Am,1147,0.46
V,Am,1147,0.69
W,Am,1147,1.18
X,Am,1147,0.42
Y,Am,1147,0.55
Z,Am,1147,0.52
A,Am,1152,1.43
B,Am,1152,0.64
C,Am,1152,1.25
D,Am,1152,1.07
E,Am,1152,0.76
V,Am,1152,1.06
W,Am,1152,0.85
X,Am,1152,0.74
Y,Am,1152,0.97
Z,Am,1152,1
A,Am,1153,1.3
B,Am,1153,1.13
C,Am,1153,1.56
D,Am,1153,0.18
E,Am,1153,1.47
V,Am,1153,1.39
W,Am,1153,1.73
X,Am,1153,1.36
Y,Am,1153,0.89
Z,Am,1153,0.66
A,Am,1155,1.06
B,Am,1155,0.99
C,Am,1155,1.57
D,Am,1155,0.65
E,Am,1155,1.02
V,Am,1155,0.39
W,Am,1155,1.2
X,Am,1155,1.3
Y,Am,1155,0.7
Z,Am,1155,1.02
A,Am,1158,0.14
B,Am,1158,0.57
C,Am,1158,0.28
D,Am,1158,0.19
E,Am,1158,0.05
V,Am,1158,0.09
W,Am,1158,0.19
X,Am,1158,0.09
Y,Am,1158,0.28
Z,Am,1158,NA
A,Am,1160,1.4
B,Am,1160,0.75
C,Am,1160,1.52
